sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
linux,64,32,0x1B00,135,4.5,8.26357231,0.3123969504127415,1.2907762853639226,3607130438680.6,238694288964658.4,113195527471747.5,0.0,1024354.5702914413,7.7449826151392545,3.0276503540974917,0.0381872435191559,0.001332934753320967,0.010967782748535165,2217757468025.3013,144183185134146.75,67860460821023.336,0.0,4371.259240581996,0.035610991404295224
linux,64,32,0x1C00,135,4.5,8.517851216,0.3123577845371671,1.33032087112008,3587959599608.8,237637600273206.3,112739831225770.9,0.0,1024477.5859658986,7.513743529140591,3.0276503540974917,0.034574660573797655,0.001097151408710576,0.009350889866949829,2201348824000.675,143147204888101.34,67376826769878.92,0.0,3594.2316481679563,0.03051252539934171
linux,64,32,0x1D00,135,4.5,8.841219771999999,0.3139932457562916,1.3880556111002236,3602719471591.2,238688125000304.5,113257004764720.6,0.0,1019138.6607637774,7.2389574097735006,3.0276503540974917,0.040609023384603087,0.0009532279162826306,0.010071330704143944,2225042688263.155,144627495120361.53,68052266329897.09,0.0,3095.8945107278505,0.033200518060089446
linux,64,32,0xC00,135,4.5,5.9425034199999995,0.3273033524839147,0.9725026724054358,6216663308397.7,417764053523515.1,223061822671202.2,0.0,977687.1769663047,10.769990995468468,3.0276503540974917,0.020826343998460645,0.0003284224808509047,0.004112893035602908,3700229705583.9824,247549537509039.5,131525508423023.39,0.0,983.4947786426654,0.0377903213304431
linux,64,32,0xF00,135,4.5,6.375536439999999,0.3266471690162652,1.0412774088113874,6192920238721.8,416131437907432.7,222168474760810.1,0.0,979652.5883320291,10.038410152153292,3.0276503540974917,0.013269330248171047,0.0005253886029181211,0.0034639430194864287,3688524899971.231,247035855008160.16,131272530324085.58,0.0,1574.703474259607,0.020910777276717
linux,64,36,0x1000,135,4.5,7.002725492000001,0.35494739543013637,1.2428035860064406,6682688775399.7,450252082051191.7,240550244907395.1,0.0,901548.9435517959,9.139336525182367,3.0276503540974917,0.01501919937444271,0.0010338516721647483,0.005588161220821074,3958008145653.594,264743091695575.66,140625165886506.16,0.0,2632.4181910631914,0.019594567805448167
linux,64,36,0x1100,135,4.5,7.167472452,0.35600957238261116,1.2758548164876262,6698301621671.0,451359679472929.8,241150474996795.0,0.0,898863.4669486575,8.92929415483633,3.0276503540974917,0.020463697046780492,0.0013275341710299682,0.008092726839396052,3977553635231.135,266053462718599.75,141334032604098.38,0.0,3346.651812351574,0.025512544888994716
linux,64,36,0x1200,135,4.5,7.368776268,0.35796980009303453,1.3189074481982879,6726757030323.9,453249915883891.0,242153958743706.8,0.0,893935.7987061434,8.685355835906034,3.0276503540974917,0.020465961451327612,0.0009479926314647238,0.006958088460612202,3995656668798.915,267223692900760.66,141960147440890.94,0.0,2366.594849956267,0.02410308447517587
linux,64,36,0x1500,135,4.5,7.996198798,0.36363640735738184,1.4538578018305066,6828735679057.9,459459328612276.4,245384136764242.1,0.0,880002.3761124586,8.00384049258362,3.0276503540974917,0.01823721465704107,0.0006443192841655898,0.005323163036632241,4056672343138.0757,271333059195053.66,144156797289492.8,0.0,1556.36645499393,0.01826105203757923
linux,64,36,0x1600,135,4.5,8.196773186000001,0.3646826916147212,1.4946165556164455,6846121035151.4,460408097358546.6,245868288519097.0,0.0,877478.183149615,7.808035425398154,3.0276503540974917,0.028463859005957878,0.0007139486449014424,0.007414545638135263,4069835232943.3916,272203272818293.53,144617225274307.44,0.0,1720.7364865235202,0.027146134031733604
