ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 8192 0x1200 135 2051.400838 0.325501 5.191544 6.743835 681013125400165 681014008611597
0 8192 0x1200 125 2052.90291 0.325537 5.194138 6.741226 681155347329686 681156229765320
0 8192 0x1200 115 2058.310851 0.323876 5.147888 6.694244 681299981745738 681300861971829
0 8192 0x1200 105 2039.40423 0.327465 5.234207 6.752533 681439199227495 681440087531721
0 8192 0x1200 95 2055.44134 0.325198 5.201828 6.719604 681578338259410 681579219637292
0 8192 0x1200 85 2063.979718 0.323403 5.169357 6.674454 681717477220087 681718354995243
0 8192 0x1200 75 2047.790421 0.326174 5.211594 6.738602 681856572818533 681857457475041
0 8192 0x1200 65 2056.232964 0.325163 5.196304 6.716354 681995769779786 681996650873359
0 8192 0x1200 55 2063.079824 0.323523 5.204605 6.689987 682140848227355 682141726357348
0 8192 0x1200 45 2039.40423 0.326672 5.272781 6.787369 682251082764679 682251971157540
0 65536 0x1200 135 4856.339646 1.050195 17.672638 23.150208 681043544187813 681046528923239
0 65536 0x1200 125 4854.769123 1.050167 17.668533 23.166382 681191287268396 681194273218469
0 65536 0x1200 115 4967.876961 1.027668 17.340714 22.549057 681330420485700 681333338374797
0 65536 0x1200 105 4884.758794 1.044762 17.489517 22.983063 681469635142154 681472602536745
0 65536 0x1200 95 4891.765006 1.042918 17.527374 23.015915 681608765320664 681611728641225
0 65536 0x1200 85 4905.086325 1.040574 17.469025 22.778351 681747904631901 681750859697901
0 65536 0x1200 75 4850.507867 1.05125 17.600555 23.039749 681887005728114 681889994172523
0 65536 0x1200 65 4862.957776 1.04886 17.607361 23.06282 682026211671257 682029192335698
0 65536 0x1200 55 4879.228649 1.045508 17.567078 22.890549 682171280911786 682174251945771
0 65536 0x1200 45 4882.932211 1.044849 17.553162 22.85495 682281759380513 682284727976019
0 524288 0x1200 135 6972.137119 5.757917 98.46582 129.409424 681076336634811 681092970129571
